MODEL,CLASS,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet_b4,1_Normal,1,ROS,RGB,True,18,388,0,406,0.21887048249467841,0.5221674876847291,1.0,0.04433497536945813,0.5113350125944585,0.6766666666666666,0.5221674876847291,0.15056568396854866
efficientnet_b4,1_Normal,2,ROS,RGB,True,13,393,0,406,0.20899158217049585,0.5160098522167488,1.0,0.03201970443349754,0.5081351689612015,0.6738589211618258,0.5160098522167488,0.12755523479027822
efficientnet_b4,1_Normal,3,ROS,RGB,True,6,399,0,405,0.21627526849876216,0.5074074074074074,1.0,0.014814814814814815,0.503731343283582,0.6699751861042184,0.5074074074074074,0.08638684255813601
efficientnet_b4,1_Normal,4,ROS,RGB,True,9,395,0,404,0.21000125414074058,0.5111386138613861,1.0,0.022277227722772276,0.5056320400500626,0.6716541978387365,0.5111386138613861,0.10613237065158376
efficientnet_b4,1_Normal,5,ROS,RGB,True,18,384,0,402,0.21079612475129503,0.5223880597014925,1.0,0.04477611940298507,0.5114503816793893,0.6767676767676768,0.5223880597014925,0.15132998169159548
efficientnet_b4,2_Esclerose_Pura_Sem_Crescente,1,ROS,RGB,False,174,50,37,187,0.504511622445924,0.8058035714285714,0.8348214285714286,0.7767857142857143,0.7890295358649789,0.8112798264642083,0.8058035714285714,0.6126397425538259
efficientnet_b4,2_Esclerose_Pura_Sem_Crescente,2,ROS,RGB,False,182,41,26,197,0.47650880476819024,0.8497757847533632,0.8834080717488789,0.8161434977578476,0.8277310924369747,0.8546637744034707,0.8497757847533632,0.701139528664204
efficientnet_b4,2_Esclerose_Pura_Sem_Crescente,3,ROS,RGB,False,180,43,31,192,0.49470552387793504,0.8340807174887892,0.8609865470852018,0.8071748878923767,0.8170212765957446,0.8384279475982532,0.8340807174887892,0.6691309367736218
efficientnet_b4,2_Esclerose_Pura_Sem_Crescente,4,ROS,RGB,False,162,60,29,193,0.504007028298335,0.7995495495495495,0.8693693693693694,0.7297297297297297,0.7628458498023716,0.8126315789473684,0.7995495495495495,0.6050269175243009
efficientnet_b4,2_Esclerose_Pura_Sem_Crescente,5,ROS,RGB,False,164,56,53,167,0.535871311751279,0.7522727272727272,0.759090909090909,0.7454545454545455,0.7488789237668162,0.7539503386004515,0.7522727272727272,0.5045923713065805
efficientnet_b4,2_Esclerose_Pura_Sem_Crescente,1,ROS,RGB,True,0,224,0,224,0.2599996786032404,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,nan
efficientnet_b4,2_Esclerose_Pura_Sem_Crescente,2,ROS,RGB,True,1,222,0,223,0.2501788504187836,0.5022421524663677,1.0,0.004484304932735426,0.501123595505618,0.6676646706586826,0.5022421524663677,0.047404546313997716
efficientnet_b4,2_Esclerose_Pura_Sem_Crescente,3,ROS,RGB,True,0,223,0,223,0.2561387352879272,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,nan
efficientnet_b4,2_Esclerose_Pura_Sem_Crescente,4,ROS,RGB,True,0,222,0,222,0.25353962438063576,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,nan
efficientnet_b4,2_Esclerose_Pura_Sem_Crescente,5,ROS,RGB,True,0,220,0,220,0.2702096771110188,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,nan
efficientnet_b4,3_Hipercelularidade,1,ROS,RGB,False,421,51,42,430,0.30277698272365633,0.9014830508474576,0.9110169491525424,0.8919491525423728,0.893970893970894,0.9024134312696747,0.9014830508474576,0.8031121130672684
efficientnet_b4,3_Hipercelularidade,2,ROS,RGB,False,408,63,24,447,0.284373781357095,0.9076433121019108,0.9490445859872612,0.8662420382165605,0.8764705882352941,0.9113149847094801,0.9076433121019108,0.8180959881038617
efficientnet_b4,3_Hipercelularidade,3,ROS,RGB,False,395,76,33,438,0.30664851173220675,0.8842887473460722,0.9299363057324841,0.8386411889596603,0.8521400778210116,0.8893401015228426,0.8842887473460722,0.7718006260735383
efficientnet_b4,3_Hipercelularidade,4,ROS,RGB,False,406,63,56,413,0.2925932106178707,0.8731343283582089,0.8805970149253731,0.8656716417910447,0.8676470588235294,0.8740740740740741,0.8731343283582089,0.7463517925331652
efficientnet_b4,3_Hipercelularidade,5,ROS,RGB,False,428,41,68,401,0.33083948512067163,0.8837953091684435,0.8550106609808102,0.9125799573560768,0.9072398190045249,0.8803512623490669,0.8837953091684435,0.768865772403942
efficientnet_b4,3_Hipercelularidade,1,ROS,RGB,True,100,372,0,472,0.2024258362539744,0.6059322033898306,1.0,0.211864406779661,0.5592417061611374,0.7173252279635258,0.6059322033898304,0.3442141954107571
efficientnet_b4,3_Hipercelularidade,2,ROS,RGB,True,99,372,0,471,0.18876528379264151,0.6050955414012739,1.0,0.21019108280254778,0.5587188612099644,0.7168949771689498,0.6050955414012739,0.34269187679302937
efficientnet_b4,3_Hipercelularidade,3,ROS,RGB,True,87,384,0,471,0.1895079773132968,0.5923566878980892,1.0,0.18471337579617833,0.5508771929824562,0.7104072398190046,0.5923566878980892,0.31898963300538824
efficientnet_b4,3_Hipercelularidade,4,ROS,RGB,True,77,392,0,469,0.18877271095763393,0.582089552238806,1.0,0.16417910447761194,0.5447154471544715,0.7052631578947368,0.582089552238806,0.2990499863048703
efficientnet_b4,3_Hipercelularidade,5,ROS,RGB,True,90,379,0,469,0.21143733940399023,0.5959488272921108,1.0,0.19189765458422176,0.5530660377358491,0.7122247532270312,0.5959488272921108,0.32577918207230205
efficientnet_b4,4_Hipercelularidade_Pura_Sem_Crescente,1,ROS,RGB,False,44,14,10,48,0.6395619367731029,0.7931034482758621,0.8275862068965517,0.7586206896551724,0.7741935483870968,0.8,0.7931034482758621,0.587605960347241
efficientnet_b4,4_Hipercelularidade_Pura_Sem_Crescente,2,ROS,RGB,False,50,8,11,47,0.6269749320786575,0.8362068965517241,0.8103448275862069,0.8620689655172413,0.8545454545454545,0.831858407079646,0.8362068965517241,0.6733150853596527
efficientnet_b4,4_Hipercelularidade_Pura_Sem_Crescente,3,ROS,RGB,False,42,14,7,49,0.6255947947502136,0.8125,0.875,0.75,0.7777777777777778,0.8235294117647058,0.8125,0.629940788348712
efficientnet_b4,4_Hipercelularidade_Pura_Sem_Crescente,4,ROS,RGB,False,49,7,10,46,0.6356310248374939,0.8482142857142857,0.8214285714285714,0.875,0.8679245283018868,0.8440366972477065,0.8482142857142857,0.697430067055474
efficientnet_b4,4_Hipercelularidade_Pura_Sem_Crescente,5,ROS,RGB,False,30,24,12,42,0.6552275750372145,0.6666666666666666,0.7777777777777778,0.5555555555555556,0.6363636363636364,0.7,0.6666666666666667,0.34188172937891387
efficientnet_b4,4_Hipercelularidade_Pura_Sem_Crescente,1,ROS,RGB,True,0,58,0,58,0.30866666806155235,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,nan
efficientnet_b4,4_Hipercelularidade_Pura_Sem_Crescente,2,ROS,RGB,True,0,58,0,58,0.3152550571951373,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,nan
efficientnet_b4,4_Hipercelularidade_Pura_Sem_Crescente,3,ROS,RGB,True,0,56,0,56,0.29915799839156015,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,nan
efficientnet_b4,4_Hipercelularidade_Pura_Sem_Crescente,4,ROS,RGB,True,0,56,0,56,0.30681899189949036,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,nan
efficientnet_b4,4_Hipercelularidade_Pura_Sem_Crescente,5,ROS,RGB,True,0,54,0,54,0.3277852711854158,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,nan
efficientnet_b4,5_Crescent,1,ROS,RGB,False,152,16,13,155,0.38233932852745056,0.9136904761904762,0.9226190476190477,0.9047619047619048,0.9064327485380117,0.9144542772861357,0.9136904761904763,0.8275129005441995
efficientnet_b4,5_Crescent,2,ROS,RGB,False,147,19,8,158,0.3735409759613405,0.9186746987951808,0.9518072289156626,0.8855421686746988,0.8926553672316384,0.9212827988338192,0.9186746987951807,0.8391938992766789
efficientnet_b4,5_Crescent,3,ROS,RGB,False,145,21,18,148,0.38885751294802473,0.8825301204819278,0.891566265060241,0.8734939759036144,0.8757396449704142,0.8835820895522388,0.8825301204819277,0.7651852088343891
efficientnet_b4,5_Crescent,4,ROS,RGB,False,141,24,1,164,0.36830496101668386,0.9242424242424242,0.9939393939393939,0.8545454545454545,0.8723404255319149,0.9291784702549575,0.9242424242424242,0.856850271851967
efficientnet_b4,5_Crescent,5,ROS,RGB,False,152,13,24,141,0.39241874741785454,0.8878787878787878,0.8545454545454545,0.9212121212121213,0.9155844155844156,0.8840125391849529,0.8878787878787879,0.7774872491997801
efficientnet_b4,5_Crescent,1,ROS,RGB,True,0,168,0,168,0.2269939340296246,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,nan
efficientnet_b4,5_Crescent,2,ROS,RGB,True,0,166,0,166,0.22415602745780025,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,nan
efficientnet_b4,5_Crescent,3,ROS,RGB,True,3,163,0,166,0.2257792775530413,0.5090361445783133,1.0,0.018072289156626505,0.5045592705167173,0.6707070707070707,0.5090361445783133,0.09549105211188455
efficientnet_b4,5_Crescent,4,ROS,RGB,True,0,165,0,165,0.21838346566214706,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,nan
efficientnet_b4,5_Crescent,5,ROS,RGB,True,0,165,0,165,0.23523599975036852,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,nan
efficientnet_b4,6_Membranous,1,ROS,RGB,False,205,28,48,185,0.4720284090789091,0.8369098712446352,0.7939914163090128,0.8798283261802575,0.8685446009389671,0.8295964125560538,0.8369098712446352,0.6763158881853943
efficientnet_b4,6_Membranous,2,ROS,RGB,False,197,35,34,198,0.4394903326856679,0.8512931034482758,0.853448275862069,0.8491379310344828,0.8497854077253219,0.8516129032258064,0.8512931034482758,0.7025927336875474
