MODEL,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
inception,0,ROS,RGB,True,833,2,8,17,0.03247603188853624,0.9883720930232558,0.68,0.9976047904191617,0.8947368421052632,0.7727272727272727,0.8388023952095809,0.7744883891173527
resnet18,0,ROS,RGB,True,829,6,7,18,0.03925520617265774,0.9848837209302326,0.72,0.9928143712574851,0.75,0.7346938775510204,0.8564071856287425,0.7270778755105854
resnet50,0,ROS,RGB,True,833,2,8,17,0.04206145953733561,0.9883720930232558,0.68,0.9976047904191617,0.8947368421052632,0.7727272727272727,0.8388023952095809,0.7744883891173527
