MODEL,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,0,ROS,RGB,True,1409,6,6,30,0.03049641411666785,0.9917298414886285,0.8333333333333334,0.9957597173144876,0.8333333333333334,0.8333333333333334,0.9145465253239105,0.829093050647821
resnet18,0,ROS,RGB,True,1411,4,8,28,0.02100193904153425,0.9917298414886285,0.7777777777777778,0.9971731448763251,0.875,0.8235294117647058,0.8874754613270515,0.820800255770284
resnet50,0,ROS,RGB,True,1414,1,3,33,0.014904750697186369,0.9972432804962095,0.9166666666666666,0.9992932862190813,0.9705882352941176,0.9428571428571428,0.957979976442874,0.9418496327223053
