MODEL,STAIN,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,PAS,1,ROS,RGB,False,506,1,146,361,0.4626034791829318,0.8550295857988166,0.7120315581854043,0.9980276134122288,0.9972375690607734,0.8308400460299195,0.8550295857988166,0.741010595086401
efficientnet,PAS,2,ROS,RGB,False,503,2,42,463,0.13414880916623786,0.9564356435643564,0.9168316831683169,0.996039603960396,0.9956989247311828,0.954639175257732,0.9564356435643564,0.9157484617194618
efficientnet,PAS,3,ROS,RGB,False,497,7,151,353,0.43357042708094157,0.8432539682539683,0.7003968253968254,0.9861111111111112,0.9805555555555555,0.8171296296296297,0.8432539682539683,0.7163699261249326
efficientnet,PAS,4,ROS,RGB,False,496,6,68,434,0.19064062430089213,0.9262948207171314,0.8645418326693227,0.9880478087649402,0.9863636363636363,0.921443736730361,0.9262948207171315,0.8591675757821091
efficientnet,PAS,5,ROS,RGB,False,496,5,178,323,0.3846079451357295,0.8173652694610778,0.6447105788423154,0.9900199600798403,0.9847560975609756,0.7792521109770808,0.8173652694610778,0.6763324885640283
efficientnet,PAS,1,ROS,RGB,True,501,6,64,443,0.30529496485194746,0.930966469428008,0.873767258382643,0.9881656804733728,0.9866369710467706,0.9267782426778243,0.930966469428008,0.8676289659000613
efficientnet,PAS,2,ROS,RGB,True,493,12,0,505,0.07452871141457322,0.9881188118811881,1.0,0.9762376237623762,0.97678916827853,0.9882583170254403,0.9881188118811881,0.9765133570807211
efficientnet,PAS,3,ROS,RGB,True,485,19,114,390,0.34865881342973026,0.8680555555555555,0.7738095238095238,0.9623015873015873,0.9535452322738386,0.8543263964950711,0.8680555555555556,0.7495469553731523
efficientnet,PAS,4,ROS,RGB,True,479,23,62,440,0.18659842753434086,0.9153386454183267,0.8764940239043825,0.954183266932271,0.9503239740820735,0.9119170984455959,0.9153386454183268,0.833195521501849
efficientnet,PAS,5,ROS,RGB,True,481,20,76,425,0.35254905597416464,0.904191616766467,0.8483033932135728,0.9600798403193613,0.9550561797752809,0.8985200845665962,0.9041916167664671,0.8134810118160337
efficientnet_b4,AZAN,1,ROS,RGB,False,161,11,85,87,0.5358669681604519,0.7209302325581395,0.5058139534883721,0.936046511627907,0.8877551020408163,0.6444444444444445,0.7209302325581395,0.4894778016766061
efficientnet_b4,AZAN,2,ROS,RGB,False,157,13,4,166,0.4402550525525037,0.95,0.9764705882352941,0.9235294117647059,0.9273743016759777,0.9512893982808023,0.95,0.9012639031167148
efficientnet_b4,AZAN,3,ROS,RGB,False,155,14,94,75,0.5927732548064734,0.6804733727810651,0.4437869822485207,0.9171597633136095,0.8426966292134831,0.5813953488372093,0.6804733727810651,0.40976528085938524
efficientnet_b4,AZAN,4,ROS,RGB,False,151,15,73,93,0.5393515588289284,0.7349397590361446,0.5602409638554217,0.9096385542168675,0.8611111111111112,0.6788321167883211,0.7349397590361446,0.5014858873767987
efficientnet_b4,AZAN,5,ROS,RGB,False,153,13,36,130,0.453292236988803,0.8524096385542169,0.7831325301204819,0.9216867469879518,0.9090909090909091,0.8414239482200647,0.8524096385542168,0.7116835718867666
efficientnet_b4,AZAN,1,ROS,RGB,True,3,169,0,172,0.29093159665895063,0.5087209302325582,1.0,0.01744186046511628,0.5043988269794721,0.6705653021442495,0.5087209302325582,0.09379580992210836
efficientnet_b4,AZAN,2,ROS,RGB,True,0,170,0,170,0.24049025774002075,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,nan
efficientnet_b4,AZAN,3,ROS,RGB,True,2,167,0,169,0.3128833897720427,0.5059171597633136,1.0,0.011834319526627219,0.5029761904761905,0.6693069306930693,0.5059171597633136,0.07715167498104596
efficientnet_b4,AZAN,4,ROS,RGB,True,0,166,0,166,0.2967512568077409,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,nan
efficientnet_b4,AZAN,5,ROS,RGB,True,1,165,0,166,0.2428290158151144,0.5030120481927711,1.0,0.006024096385542169,0.5015105740181269,0.6680080482897385,0.5030120481927711,0.054964970992931274
efficientnet_b4,HE,1,ROS,RGB,False,830,23,131,722,0.23189710471931962,0.9097303634232121,0.8464243845252052,0.9730363423212193,0.9691275167785235,0.9036295369211514,0.9097303634232122,0.8261089846897918
efficientnet_b4,HE,2,ROS,RGB,False,831,21,139,713,0.194290075013895,0.9061032863849765,0.8368544600938967,0.9753521126760564,0.9713896457765667,0.8991172761664565,0.9061032863849765,0.8201101697143095
efficientnet_b4,HE,3,ROS,RGB,False,826,25,168,683,0.3598685140965548,0.8866039952996474,0.8025851938895417,0.9706227967097533,0.9646892655367232,0.8762026940346376,0.8866039952996475,0.7843611463437553
efficientnet_b4,HE,4,ROS,RGB,False,814,36,38,812,0.1427510380744934,0.9564705882352941,0.9552941176470588,0.9576470588235294,0.9575471698113207,0.9564193168433451,0.9564705882352942,0.9129437036538885
efficientnet_b4,HE,5,ROS,RGB,False,819,27,73,773,0.1457686574323803,0.9408983451536643,0.9137115839243499,0.9680851063829787,0.96625,0.9392466585662211,0.9408983451536643,0.8831030949063557
efficientnet_b4,HE,1,ROS,RGB,True,507,346,0,853,0.16218045402803008,0.7971864009378663,1.0,0.5943728018757327,0.7114261884904087,0.8313840155945419,0.7971864009378664,0.6502710027218016
efficientnet_b4,HE,2,ROS,RGB,True,482,370,0,852,0.16058080206174805,0.7828638497652582,1.0,0.5657276995305164,0.6972176759410802,0.8216007714561234,0.7828638497652582,0.6280408839256887
efficientnet_b4,HE,3,ROS,RGB,True,558,293,61,790,0.21390547290812087,0.7920094007050529,0.9283196239717979,0.6556991774383079,0.7294552169898431,0.8169596690796277,0.7920094007050529,0.6070113838918672
efficientnet_b4,HE,4,ROS,RGB,True,460,390,0,850,0.14185189315501381,0.7705882352941176,1.0,0.5411764705882353,0.6854838709677419,0.8133971291866029,0.7705882352941176,0.6090712125322324
efficientnet_b4,HE,5,ROS,RGB,True,455,391,0,846,0.15708486193319865,0.7689125295508275,1.0,0.5378250591016549,0.6839126919967664,0.8122899663946231,0.7689125295508275,0.6064860954659494
efficientnet_b4,PAMS,1,ROS,RGB,False,160,16,37,139,0.48173381794582715,0.8494318181818182,0.7897727272727273,0.9090909090909091,0.896774193548387,0.8398791540785498,0.8494318181818181,0.7038921944341303
efficientnet_b4,PAMS,2,ROS,RGB,False,155,21,30,146,0.4827955879948356,0.8551136363636364,0.8295454545454546,0.8806818181818182,0.874251497005988,0.8513119533527697,0.8551136363636365,0.7111576943437428
efficientnet_b4,PAMS,3,ROS,RGB,False,167,8,42,133,0.47826079045023234,0.8571428571428571,0.76,0.9542857142857143,0.9432624113475178,0.8417721518987342,0.8571428571428572,0.72816083071789
efficientnet_b4,PAMS,4,ROS,RGB,False,151,21,14,158,0.46780968405479606,0.8982558139534884,0.9186046511627907,0.877906976744186,0.88268156424581,0.9002849002849003,0.8982558139534884,0.7971720798352133
efficientnet_b4,PAMS,5,ROS,RGB,False,160,11,54,117,0.5366925199826559,0.8099415204678362,0.6842105263157895,0.935672514619883,0.9140625,0.782608695652174,0.8099415204678362,0.6404629239927522
efficientnet_b4,PAMS,1,ROS,RGB,True,1,175,0,176,0.2584795464168895,0.5028409090909091,1.0,0.005681818181818182,0.5014245014245015,0.6679316888045541,0.5028409090909091,0.05337605126836238
efficientnet_b4,PAMS,2,ROS,RGB,True,1,175,0,176,0.25818160582672467,0.5028409090909091,1.0,0.005681818181818182,0.5014245014245015,0.6679316888045541,0.5028409090909091,0.05337605126836238
efficientnet_b4,PAMS,3,ROS,RGB,True,2,173,0,175,0.26505139810698375,0.5057142857142857,1.0,0.011428571428571429,0.5028735632183908,0.6692160611854685,0.5057142857142857,0.07580980435789034
efficientnet_b4,PAMS,4,ROS,RGB,True,0,172,0,172,0.2492528634015904,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,nan
efficientnet_b4,PAMS,5,ROS,RGB,True,0,171,0,171,0.28929429618935837,0.5,1.0,0.0,0.5,0.6666666666666666,0.5,nan
efficientnet_b4,PAS,1,ROS,RGB,False,472,35,123,384,0.34427032544768066,0.844181459566075,0.757396449704142,0.9309664694280079,0.9164677804295943,0.8293736501079914,0.8441814595660749,0.6989722476065334
efficientnet_b4,PAS,2,ROS,RGB,False,465,40,49,456,0.2940144086238181,0.9118811881188119,0.902970297029703,0.9207920792079208,0.9193548387096774,0.9110889110889111,0.9118811881188119,0.8238932274312638
efficientnet_b4,PAS,3,ROS,RGB,False,466,38,133,371,0.3455434479410686,0.8303571428571428,0.7361111111111112,0.9246031746031746,0.9070904645476773,0.8127053669222344,0.8303571428571429,0.672773951857843
efficientnet_b4,PAS,4,ROS,RGB,False,435,67,60,442,0.33345944199904026,0.8735059760956175,0.8804780876494024,0.8665338645418327,0.8683693516699411,0.874381800197824,0.8735059760956175,0.7470845877931712
efficientnet_b4,PAS,5,ROS,RGB,False,472,29,244,257,0.4407216681691701,0.7275449101796406,0.5129740518962076,0.9421157684630739,0.8986013986013986,0.6531130876747141,0.7275449101796407,0.5038431045172751
efficientnet_b4,PAS,1,ROS,RGB,True,78,429,0,507,0.21566152175855355,0.576923076923077,1.0,0.15384615384615385,0.5416666666666666,0.7027027027027027,0.5769230769230769,0.28867513459481287
efficientnet_b4,PAS,2,ROS,RGB,True,68,437,0,505,0.20440191874409666,0.5673267326732674,1.0,0.13465346534653466,0.5360934182590233,0.6979958534899793,0.5673267326732674,0.26867608103075846
efficientnet_b4,PAS,3,ROS,RGB,True,80,424,0,504,0.23432302167491306,0.5793650793650793,1.0,0.15873015873015872,0.5431034482758621,0.7039106145251397,0.5793650793650793,0.29361010975735174
efficientnet_b4,PAS,4,ROS,RGB,True,59,443,0,502,0.2038229163661896,0.5587649402390438,1.0,0.11752988047808766,0.5312169312169313,0.6938493434692468,0.5587649402390438,0.24986768985577634
efficientnet_b4,PAS,5,ROS,RGB,True,74,427,0,501,0.2502211090214476,0.5738522954091816,1.0,0.14770459081836326,0.5398706896551724,0.7011896431070679,0.5738522954091816,0.2823851612786069
inception,AZAN,1,ROS,RGB,False,172,0,72,100,0.6387002357216769,0.7906976744186046,0.5813953488372093,1.0,1.0,0.7352941176470589,0.7906976744186047,0.6401843996644798
inception,AZAN,2,ROS,RGB,False,170,0,21,149,0.16135918024708243,0.9382352941176471,0.8764705882352941,1.0,1.0,0.9341692789968652,0.9382352941176471,0.8832353661634507
inception,AZAN,3,ROS,RGB,False,169,0,108,61,1.2313746093998295,0.6804733727810651,0.3609467455621302,1.0,1.0,0.5304347826086957,0.6804733727810651,0.469272422477813
inception,AZAN,4,ROS,RGB,False,164,2,124,42,0.759928346398365,0.6204819277108434,0.25301204819277107,0.9879518072289156,0.9545454545454546,0.4,0.6204819277108433,0.3553345272593507
inception,AZAN,5,ROS,RGB,False,166,0,80,86,0.7226346285946398,0.7590361445783133,0.5180722891566265,1.0,1.0,0.6825396825396826,0.7590361445783133,0.5912643198561531
inception,AZAN,1,ROS,RGB,True,172,0,116,56,0.9497497067895047,0.6627906976744186,0.32558139534883723,1.0,1.0,0.49122807017543857,0.6627906976744187,0.4409585518440984
inception,AZAN,2,ROS,RGB,True,170,0,57,113,0.4876650382490719,0.8323529411764706,0.6647058823529411,1.0,1.0,0.7985865724381626,0.8323529411764705,0.7055475581618817
inception,AZAN,3,ROS,RGB,True,167,2,123,46,1.3018086570254443,0.6301775147928994,0.27218934911242604,0.9881656804733728,0.9583333333333334,0.423963133640553,0.6301775147928994,0.3729349269914457
inception,AZAN,4,ROS,RGB,True,164,2,31,135,0.5403340505548271,0.9006024096385543,0.8132530120481928,0.9879518072289156,0.9854014598540146,0.8910891089108911,0.9006024096385542,0.813718241165816
inception,AZAN,5,ROS,RGB,True,164,2,72,94,0.564930329121739,0.7771084337349398,0.5662650602409639,0.9879518072289156,0.9791666666666666,0.7175572519083969,0.7771084337349398,0.6112181039706439
inception,HE,1,ROS,RGB,False,853,0,203,650,0.2573408867382081,0.8810082063305978,0.7620164126611958,1.0,1.0,0.8649367930805056,0.881008206330598,0.7845573930760599
inception,HE,2,ROS,RGB,False,852,0,100,752,0.259598215788323,0.9413145539906104,0.8826291079812206,1.0,1.0,0.9376558603491272,0.9413145539906103,0.8887721678734966
inception,HE,3,ROS,RGB,False,851,0,265,586,0.7046582395764621,0.8443008225616921,0.6886016451233843,1.0,1.0,0.8155880306193458,0.8443008225616921,0.724630668502767
inception,HE,4,ROS,RGB,False,849,1,147,703,0.2852183619667502,0.9129411764705881,0.8270588235294117,0.9988235294117647,0.9985795454545454,0.9047619047619048,0.9129411764705881,0.8383417856797122
inception,HE,5,ROS,RGB,False,846,0,63,783,0.08761918241814237,0.9627659574468085,0.925531914893617,1.0,1.0,0.9613259668508287,0.9627659574468085,0.9281089045009003
inception,HE,1,ROS,RGB,True,851,2,101,752,0.20336475068073315,0.9396248534583821,0.8815943728018757,0.9976553341148886,0.9973474801061007,0.9359054138145613,0.9396248534583822,0.885232023517729
inception,HE,2,ROS,RGB,True,850,2,153,699,0.5022275129359373,0.909037558685446,0.8204225352112676,0.9976525821596244,0.9971469329529244,0.9001931745009659,0.909037558685446,0.83123400713189
inception,HE,3,ROS,RGB,True,851,0,258,593,0.7560086211782785,0.8484136310223267,0.6968272620446534,1.0,1.0,0.8213296398891967,0.8484136310223267,0.7312427506133765
inception,HE,4,ROS,RGB,True,844,6,117,733,0.2314590760276598,0.9276470588235294,0.8623529411764705,0.9929411764705882,0.9918809201623816,0.9225928256765261,0.9276470588235294,0.8626815258861209
inception,HE,5,ROS,RGB,True,842,4,65,781,0.14571197163621866,0.9592198581560284,0.9231678486997635,0.9952718676122931,0.9949044585987261,0.9576946658491723,0.9592198581560283,0.9208365454294692
inception,PAMS,1,ROS,RGB,False,176,0,70,106,0.5152404660528357,0.8011363636363636,0.6022727272727273,1.0,1.0,0.75177304964539,0.8011363636363636,0.6564254024206326
inception,PAMS,2,ROS,RGB,False,176,0,87,89,0.7270148965445432,0.7528409090909091,0.5056818181818182,1.0,1.0,0.6716981132075471,0.7528409090909092,0.5817241973866095
inception,PAMS,3,ROS,RGB,False,173,2,50,125,0.35526820932115827,0.8514285714285714,0.7142857142857143,0.9885714285714285,0.984251968503937,0.8278145695364238,0.8514285714285714,0.7308879796508252
inception,PAMS,4,ROS,RGB,False,171,1,53,119,0.4079732638458873,0.8430232558139534,0.6918604651162791,0.9941860465116279,0.9916666666666667,0.815068493150685,0.8430232558139534,0.7197263037995433
inception,PAMS,5,ROS,RGB,False,169,2,53,118,0.4249606072161978,0.8391812865497076,0.6900584795321637,0.9883040935672515,0.9833333333333333,0.8109965635738832,0.8391812865497076,0.7107074680240141
inception,PAMS,1,ROS,RGB,True,173,3,49,127,0.41464325379241596,0.8522727272727273,0.7215909090909091,0.9829545454545454,0.9769230769230769,0.8300653594771242,0.8522727272727273,0.7299170725355949
inception,PAMS,2,ROS,RGB,True,171,5,45,131,0.4633213606747714,0.8579545454545455,0.7443181818181818,0.9715909090909091,0.9632352941176471,0.8397435897435898,0.8579545454545454,0.7351470441147051
inception,PAMS,3,ROS,RGB,True,168,7,2,173,0.1378473172017506,0.9742857142857143,0.9885714285714285,0.96,0.9611111111111111,0.9746478873239437,0.9742857142857142,0.9489588377885488
inception,PAMS,4,ROS,RGB,True,169,3,39,133,0.4278305297674135,0.877906976744186,0.7732558139534884,0.9825581395348837,0.9779411764705882,0.8636363636363636,0.877906976744186,0.7729336780010528
inception,PAMS,5,ROS,RGB,True,166,5,65,106,0.6051497469868576,0.7953216374269005,0.6198830409356725,0.9707602339181286,0.954954954954955,0.75177304964539,0.7953216374269005,0.6307451132108737
inception,PAS,1,ROS,RGB,False,507,0,140,367,0.4735776872559647,0.8619329388560159,0.7238658777120316,1.0,1.0,0.8398169336384439,0.8619329388560157,0.7531489791888245
inception,PAS,2,ROS,RGB,False,504,1,212,293,0.6882141675099288,0.7891089108910891,0.5801980198019802,0.998019801980198,0.9965986394557823,0.7334167709637046,0.7891089108910891,0.6364329775986686
inception,PAS,3,ROS,RGB,False,502,2,160,344,0.6927561315279158,0.8392857142857142,0.6825396825396826,0.996031746031746,0.9942196531791907,0.8094117647058824,0.8392857142857143,0.7145935007125901
inception,PAS,4,ROS,RGB,False,500,2,91,411,0.38058740770318117,0.9073705179282868,0.8187250996015937,0.9960159362549801,0.9951573849878934,0.898360655737705,0.9073705179282869,0.8278555062868785
inception,PAS,5,ROS,RGB,False,499,2,324,177,1.1658524460421351,0.6746506986027944,0.3532934131736527,0.9960079840319361,0.9888268156424581,0.5205882352941177,0.6746506986027945,0.4559441161249829
inception,PAS,1,ROS,RGB,True,506,1,134,373,0.5964611428964303,0.8668639053254439,0.7357001972386588,0.9980276134122288,0.9973262032085561,0.8467650397275823,0.8668639053254438,0.7603563054449844
inception,PAS,2,ROS,RGB,True,502,3,149,356,0.5774513707745194,0.8495049504950495,0.7049504950495049,0.994059405940594,0.9916434540389972,0.8240740740740741,0.8495049504950495,0.7301918592978436
inception,PAS,3,ROS,RGB,True,501,3,166,338,0.784798777765698,0.8323412698412698,0.6706349206349206,0.9940476190476191,0.9912023460410557,0.8,0.8323412698412698,0.7024326671968555
inception,PAS,4,ROS,RGB,True,498,4,84,418,0.49918771167081666,0.9123505976095617,0.8326693227091634,0.9920318725099602,0.990521327014218,0.9047619047619048,0.9123505976095618,0.8353772104824404
inception,PAS,5,ROS,RGB,True,500,1,320,181,1.5513887850348345,0.6796407185628742,0.36127744510978044,0.998003992015968,0.9945054945054945,0.5300146412884333,0.6796407185628742,0.46593988152714955
resnet18,AZAN,1,ROS,RGB,False,172,0,88,84,0.6538455382336018,0.7441860465116279,0.4883720930232558,1.0,1.0,0.65625,0.7441860465116279,0.5683985600588051
resnet18,AZAN,2,ROS,RGB,False,170,0,59,111,0.6199833876946393,0.8264705882352941,0.6529411764705882,1.0,1.0,0.7900355871886121,0.8264705882352941,0.6962155967839562
resnet18,AZAN,3,ROS,RGB,False,167,2,99,70,0.9605763184248343,0.7011834319526628,0.41420118343195267,0.9881656804733728,0.9722222222222222,0.5809128630705395,0.7011834319526628,0.491362316063668
resnet18,AZAN,4,ROS,RGB,False,165,1,129,37,0.7600653329527521,0.608433734939759,0.22289156626506024,0.9939759036144579,0.9736842105263158,0.3627450980392157,0.608433734939759,0.3405940346738684
resnet18,AZAN,5,ROS,RGB,False,166,0,122,44,0.8734065366078572,0.6325301204819277,0.26506024096385544,1.0,1.0,0.41904761904761906,0.6325301204819277,0.39086797998528583
resnet18,AZAN,1,ROS,RGB,True,172,0,122,50,1.0670228004455566,0.6453488372093024,0.29069767441860467,1.0,1.0,0.45045045045045046,0.6453488372093024,0.41239304942116123
resnet18,AZAN,2,ROS,RGB,True,169,1,53,117,0.38841486222603744,0.8411764705882353,0.6882352941176471,0.9941176470588236,0.9915254237288136,0.8125,0.8411764705882353,0.7167051057314039
resnet18,AZAN,3,ROS,RGB,True,168,1,57,112,0.5343748934170198,0.8284023668639053,0.6627218934911243,0.9940828402366864,0.9911504424778761,0.7943262411347518,0.8284023668639053,0.696133442603862
resnet18,AZAN,4,ROS,RGB,True,164,2,28,138,0.5585032320884337,0.9096385542168676,0.8313253012048193,0.9879518072289156,0.9857142857142858,0.9019607843137255,0.9096385542168675,0.8295150620062532
resnet18,AZAN,5,ROS,RGB,True,160,6,37,129,0.3527103759438159,0.8704819277108434,0.7771084337349398,0.963855421686747,0.9555555555555556,0.8571428571428571,0.8704819277108433,0.754232277390189
resnet18,HE,1,ROS,RGB,False,852,1,38,815,0.13387655356739497,0.9771395076201641,0.9554513481828839,0.9988276670574443,0.9987745098039216,0.9766327142001199,0.9771395076201641,0.9551780244451312
resnet18,HE,2,ROS,RGB,False,850,2,132,720,0.23546778679138897,0.9213615023474179,0.8450704225352113,0.9976525821596244,0.997229916897507,0.9148665819567979,0.9213615023474178,0.8527075367575905
resnet18,HE,3,ROS,RGB,False,851,0,252,599,0.7014785672501868,0.8519388954171563,0.7038777908343126,1.0,1.0,0.8262068965517242,0.8519388954171563,0.736929012795854
resnet18,HE,4,ROS,RGB,False,849,1,220,630,0.30582315367810864,0.8699999999999999,0.7411764705882353,0.9988235294117647,0.9984152139461173,0.8507765023632681,0.87,0.7658559895745894
resnet18,HE,5,ROS,RGB,False,846,0,93,753,0.20187203149062452,0.9450354609929078,0.8900709219858156,1.0,1.0,0.9418386491557224,0.9450354609929078,0.8954981479083852
resnet18,HE,1,ROS,RGB,True,852,1,58,795,0.17909321090553704,0.9654161781946072,0.9320046893317703,0.9988276670574443,0.9987437185929648,0.9642207398423287,0.9654161781946073,0.9329175700166361
resnet18,HE,2,ROS,RGB,True,847,5,49,803,0.30903485531048597,0.9683098591549296,0.9424882629107981,0.994131455399061,0.9938118811881188,0.9674698795180723,0.9683098591549295,0.9378712136356124
resnet18,HE,3,ROS,RGB,True,851,0,224,627,0.7531756688386517,0.8683901292596945,0.736780258519389,1.0,1.0,0.8484438430311232,0.8683901292596945,0.7637118657933032
resnet18,HE,4,ROS,RGB,True,847,3,151,699,0.36158634599517375,0.9094117647058823,0.8223529411764706,0.9964705882352941,0.9957264957264957,0.9007731958762887,0.9094117647058824,0.8315251952598827
