MODEL,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
Inception3,0,ROS,RGB,False,287,1,9,15,0.0797758859444935,0.967948717948718,0.625,0.9965277777777778,0.9375,0.75,0.8107638888888888,0.7508558367706897
Inception3,0,ROS,RGB,True,287,1,7,17,0.07021046296144143,0.9743589743589743,0.7083333333333334,0.9965277777777778,0.9444444444444444,0.8095238095238095,0.8524305555555556,0.8055555555555556
ResNet,0,ROS,RGB,False,286,2,7,17,0.11585370844636017,0.9711538461538461,0.7083333333333334,0.9930555555555556,0.8947368421052632,0.7906976744186046,0.8506944444444444,0.7815380658664679
ResNet,0,ROS,RGB,True,286,2,5,19,0.1105650190789348,0.9775641025641025,0.7916666666666666,0.9930555555555556,0.9047619047619048,0.8444444444444444,0.8923611111111112,0.8345678958552339
EfficientNet,0,ROS,RGB,False,288,0,5,19,0.05973241223882024,0.9839743589743589,0.7916666666666666,1.0,1.0,0.8837209302325582,0.8958333333333333,0.88213207434433
EfficientNet,0,ROS,RGB,True,284,4,2,22,0.07491859831871131,0.9807692307692307,0.9166666666666666,0.9861111111111112,0.8461538461538461,0.88,0.9513888888888888,0.8703882797784891
