MODEL,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
EfficientNet,0,ROS,RGB,False,2814,2,28,64,0.0391722129421431,0.9896836313617606,0.6956521739130435,0.9992897727272727,0.9696969696969697,0.810126582278481,0.8474709733201581,0.8167229524669405
EfficientNet,0,ROS,RGB,True,2806,10,17,75,0.02629198775238561,0.9907152682255846,0.8152173913043478,0.9964488636363636,0.8823529411764706,0.847457627118644,0.9058331274703557,0.843379086526571
ResNet,0,ROS,RGB,False,2812,4,28,64,0.04919683669355972,0.9889958734525447,0.6956521739130435,0.9985795454545454,0.9411764705882353,0.8,0.8471158596837944,0.8040833422764817
ResNet,0,ROS,RGB,True,2808,8,18,74,0.026807488176390077,0.9910591471801926,0.8043478260869565,0.9971590909090909,0.9024390243902439,0.8505747126436781,0.9007534584980237,0.8474703420281116
VGG,0,ROS,RGB,False,2810,6,24,68,0.07706939354221043,0.9896836313617606,0.7391304347826086,0.9978693181818182,0.918918918918919,0.8192771084337349,0.8684998764822134,0.8191469119482329
VGG,0,ROS,RGB,True,2805,11,9,83,0.04093144570416956,0.9931224209078404,0.9021739130434783,0.99609375,0.8829787234042553,0.8924731182795699,0.9491338315217391,0.888975989604897
